ID;NOME_AZIONISTA;N_AZIONI;VALORE_EURO;PERC
125;COMUNE DI MONTAGNE;80;80;0,00%
126;COMUNE DI NAGO- TORBOLE;785;785;0,02%
127;COMUNE DI NANNO;191;191;0,01%
128;COMUNE DI NAVE SAN ROCCO ;409;409;0,01%
129;COMUNE DI NOGAREDO;573;573;0,02%
130;COMUNE DI NOMI;391;391;0,01%
131;COMUNE DI NOVALEDO;280;280;0,01%
132;COMUNE DI OSSANA;239;239;0,01%
133;COMUNE DI PADERGNONE;201;201;0,01%
134;COMUNE DI PALU' DEL FERSINA;57;57;0,00%
135;COMUNE DI PANCHIA';227;227;0,01%
136;COMUNE DI PEIO;583;583;0,02%
137;COMUNE DI PELLIZZANO;233;233;0,01%
138;COMUNE DI PELUGO;116;116;0,00%
139;COMUNE DI PERGINE VALSUGANA;5.760;5.760,00;0,16%
140;COMUNE DI PIEVE DI BONO;426;426;0,01%
141;COMUNE DI PIEVE TESINO;223;223;0,01%
142;COMUNE DI PINZOLO;932;932;0,03%
143;COMUNE DI POMAROLO;702;702;0,02%
144;COMUNE DI POZZA DI FASSA;589;589;0,02%
145;COMUNE DI PRASO;108;108;0,00%
146;COMUNE DI PREDAZZO;1356;1.356,00;0,04%
147;COMUNE DI PREORE;120;120;0,00%
148;COMUNE DI PREZZO;65;65;0,00%
149;COMUNE DI RABBI;435;435;0,01%
150;COMUNE DI RAGOLI;240;240;0,01%
151;COMUNE DI REVO';382;382;0,01%
152;COMUNE DI ROMALLO;179;179;0,01%
153;COMUNE DI ROMENO;400;400;0,01%
154;COMUNE DI RONCEGNO TERME;817;817;0,02%
155;COMUNE DI RONCHI VALSUGANA;121;121;0,00%
156;COMUNE DI RONCONE;446;446;0,01%
157;COMUNE DI RONZO CHIENIS;306;306;0,01%
158;COMUNE DI RONZONE ;116;116;0,00%
159;COMUNE DI RUFFRE' MENDOLA;130;130;0,00%
160;COMUNE DI RUMO;260;260;0,01%
161;COMUNE DI SAGRON MIS;65;65;0,00%
162;COMUNE DI SAN LORENZO IN BANALE;355;355;0,01%
163;COMUNE DI SANZENO;286;286;0,01%
164;COMUNE DI SARNONICO;219;219;0,01%
165;COMUNE DI SCURELLE;408;408;0,01%
166;COMUNE DI SEGONZANO;470;470;0,01%
167;COMUNE DI SFRUZ;93;93;0,00%
168;COMUNE DI SIROR;382;382;0,01%
169;COMUNE DI SORAGA;209;209;0,01%
170;COMUNE DI SPIAZZO;370;370;0,01%
171;COMUNE DI SPORMAGGIORE;376;376;0,01%
172;COMUNE DI SPORMINORE;220;220;0,01%
173;COMUNE DI STENICO;342;342;0,01%
174;COMUNE DI STORO;1.400;1.400,00;0,04%
175;COMUNE DI STREMBO;157;157;0,00%
176;COMUNE DI TAIO;855;855;0,02%
177;COMUNE DI TELVE;577;577;0,02%
178;COMUNE DI TELVE DI SOPRA;193;193;0,01%
179;COMUNE DI TENNA;296;296;0,01%
180;COMUNE DI TENNO;587;587;0,02%
181;COMUNE DI TERLAGO;494;494;0,01%
182;COMUNE DI TERRAGNOLO;237;237;0,01%
183;COMUNE DI TERRES;98;98;0,00%
184;COMUNE DI TERZOLAS;183;183;0,01%
185;COMUNE DI TESERO;842;842;0,02%
186;COMUNE DI TIONE DI TRENTO;1.094;1.094,00;0,03%
187;COMUNE DI TONADICO;449;449;0,01%
188;COMUNE DI TRAMBILENO;413;413;0,01%
189;COMUNE DI TRANSACQUA;641;641;0,02%
190;COMUNE DI TRES;207;207;0,01%
191;COMUNE DI TUENNO ;717;717;0,02%
192;COMUNE DI VALDA;69;69;0,00%
193;COMUNE DI VALFLORIANA;163;163;0,00%
194;COMUNE DI VALLARSA;427;427;0,01%
195;COMUNE DI VARENA;247;247;0,01%
196;COMUNE DI VERMIGLIO;579;579;0,02%
197;COMUNE DI VERVO';210;210;0,01%
198;COMUNE DI VEZZANO;636;636;0,02%
199;COMUNE DI VIGNOLA FALESINA;41;41;0,00%
200;COMUNE DI VIGO DI FASSA;341;341;0,01%
201;COMUNE DI VIGO RENDENA;145;145;0,00%
202;COMUNE DI VILLA LAGARINA;1058;1.058,00;0,03%
203;COMUNE DI VILLA RENDENA;266;266;0,01%
204;COMUNE DI VOLANO;895;895;0,03%
205;COMUNE DI ZIANO DI FIEMME;497;497;0,01%
206;COMUNE DI ZUCLO;106;106;0,00%
;;;;
