stop_id,stop_name,stop_lat,stop_lon
2023,Monte Terlago/Covelo, 46.109640, 11.037880
2024,Laghi Di Lamar, 46.127860, 11.061490
2025,Maso Ariol, 46.106090, 11.026530
2030,Vigolo Baselga, 46.081430, 11.044950
2040,Vezzano, 46.078460, 10.999780
2041,Fraveggio Bivio, 46.078600, 10.993850
2042,Lon, 46.084180, 10.992660
2043,Ciago, 46.089230, 11.004830
2044,Margone Bivio, 46.068380, 10.972990
2045,Ranzo/Margone, 46.064100, 10.942530
2046,Margone, 46.068210, 10.963850
2048,Calavino, 46.045560, 10.982800
2049,Lasino, 46.023470, 10.983340
2050,Stravino, 46.003180, 10.980420
2051,Cavedine, 45.993500, 10.974610
2052,Brusino, 45.985820, 10.975980
2054,Vigo Cavedine, 45.978950, 10.981210
2055,Masi Di Vigo Cavedine, 45.965310, 10.973610
2056,Luch Di Drena, 45.965810, 10.962320
2057,Drena, 45.971070, 10.944490
2058,Lago Di Cavedine, 45.994050, 10.951540
2059,Padergnone Bivio, 46.060250, 10.992500
2060,Madruzzo Bivio, 46.033900, 10.981400
2090,Padergnone, 46.062080, 10.988830
2100,Due Laghi, 46.058840, 10.979160
2101,S.Massenza/Due Laghi, 46.065470, 10.980450
2110,Castel Toblino, 46.056330, 10.965420
2120,Sarche, 46.046400, 10.952050
2121,Ponte Oliveti, 46.042740, 10.962250
2122,Pergolese, 46.026590, 10.959240
2123,Maso Gua', 46.021550, 10.959030
2124,Maso Del Gobbo, 46.033800, 10.947730
2125,Pietramurata, 46.017080, 10.942030
2126,Centrale Di Drena, 45.967100, 10.928180
2127,Dro, 45.961460, 10.910710
2128,Ceniga, 45.951370, 10.900840
2129,Centrale Fies, 45.986440, 10.926870
2130,S.Martino Di  Arco, 45.923720, 10.893130
2132,Isoletta, 46.009160, 10.935760
2133,Varignano, 45.918290, 10.861640
2134,Vigne, 45.919710, 10.865340
2135,Chiarano, 45.918870, 10.869400
2136,Varone, 45.907200, 10.840320
2137,Pasina Bivio, 45.905620, 10.851470
2138,Ceole, 45.913900, 10.857770
2142,Biacesa, 45.865040, 10.805380
2143,Pre', 45.866320, 10.788160
2144,Molina Di Ledro, 45.871750, 10.772200
2145,Mezzolago, 45.881020, 10.750430
2146,Pieve Di Ledro, 45.889270, 10.730650
2147,Bezzecca/Val Concei, 45.894700, 10.720090
2148,Locca, 45.900370, 10.725630
2149,Enguiso, 45.905780, 10.729200
2150,Lenzumo, 45.912370, 10.726390
2153,Marocche, 45.998550, 10.925280
2154,Gaggiolo, 45.993640, 10.926510
2155,Tiarno Di Sotto, 45.893410, 10.686720
2156,Tiarno Di Sopra, 45.889950, 10.671900
2159,Ampola, 45.875760, 10.658550
2160,Pregasina, 45.851200, 10.824940
2162,Barcesino, 45.870880, 10.781500
2163,Pregasina Bivio, 45.864650, 10.813790
2170,Comano Terme, 46.041180, 10.881900
2171,Poia, 46.028650, 10.880060
2172,Godenzo, 46.028850, 10.883150
2173,Comano/Godenzo, 46.034760, 10.891010
2174,Lundo, 46.012770, 10.884050
2178,Campi, 45.911120, 10.811270
2179,Deva, 45.908500, 10.833700
2180,Ponte Arche/Comano Terme, 46.035570, 10.873600
2181,Campo Lomaso, 46.024010, 10.865590
2182,Vigo Lomaso, 46.013190, 10.869060
2183,Dasindo, 46.011830, 10.860390
2184,Stumiaga, 46.006990, 10.848990
2185,Fiave'/Cavrasto, 46.004400, 10.842030
2186,Favrio, 46.000470, 10.856960
2187,Torbiera Di Fiave', 45.992440, 10.837990
2188,Ballino, 45.965490, 10.811490
2189,Lago Tenno/Pranzo, 45.935060, 10.812040
2191,Tenno, 45.921120, 10.831290
2192,Cologna Di Tenno, 45.914840, 10.842350
2193,Gavazzo, 45.912480, 10.840950
2195,Cares, 46.032880, 10.863760
2196,Comighello, 46.030940, 10.851450
2197,Villa Di Bleggio, 46.029290, 10.841940
2198,S.Croce Del Bleggio, 46.024460, 10.838760
2199,Madice, 46.023850, 10.831990
2200,Cavrasto, 46.017060, 10.819840
2201,Rango, 46.018170, 10.811820
2202,Balbido, 46.014190, 10.811810
2207,Cavaione, 46.022550, 10.819790
2208,Bivedo/Larido/Marazzone, 46.028730, 10.826640
2210,Ville Del Monte, 45.930240, 10.822390
2211,Villa Banale, 46.046390, 10.887180
2212,Premione, 46.048260, 10.874190
2213,Stenico, 46.051960, 10.853860
2214,Seo, 46.057100, 10.872910
2215,Sclemo, 46.055950, 10.884030
2216,Tavodo/Andogno, 46.066310, 10.892190
2217,Andogno, 46.066470, 10.895380
2218,Dorsino, 46.073350, 10.896840
2219,S.Lorenzo In Banale, 46.076490, 10.907290
2220,Lago Nembia, 46.096080, 10.932580
2221,Calvola, 45.926460, 10.832010
2223,Dos Doa, 46.054260, 10.897540
2225,Sesto Bivio, 46.031410, 10.846930
2228,Albola, 45.897650, 10.844120
2240,Ragoli/Preore/Coltura, 46.049750, 10.785620
2241,Marce' Bivio, 46.019250, 10.823800
2250,Ragoli, 46.050970, 10.776570
2251,Preore, 46.046660, 10.758320
2260,Saone, 46.042570, 10.766900
2270,Zuclo/Bolbeno, 46.034150, 10.747290
2271,Bolbeno, 46.032560, 10.737530
2272,Coltura, 46.058260, 10.793840
2280,Montagne, 46.065600, 10.755130
2290,Tione, 46.033120, 10.726100
2291,Verdesina Bivio, 46.056980, 10.716260
2292,Polin, 46.026810, 10.720080
2293,Breguzzo, 46.009280, 10.699420
2294,Bondo, 46.000220, 10.692870
2295,Pra' Di Bondo, 45.996280, 10.690670
2296,Roncone, 45.983550, 10.670680
2297,Fontanedo, 45.979170, 10.666820
2298,Lardaro, 45.969370, 10.660890
2299,Praso, 45.949520, 10.637400
2300,Daone, 45.947360, 10.621170
2301,Forti Lardaro/Agrone, 45.962730, 10.658030
2302,Agrone, 45.955370, 10.650600
2303,Bersone, 45.944010, 10.633500
2304,Strada, 45.944270, 10.642760
2305,Pieve Di Bono/Strada, 45.939230, 10.638640
2308,Por, 45.938500, 10.648220
2309,Cologna Di P.Bono, 45.931340, 10.637440
2310,Cimego, 45.911910, 10.614390
2311,Condino, 45.889010, 10.599600
2312,Brione, 45.894270, 10.590550
2314,Storo, 45.848790, 10.578080
2320,Darzo, 45.841240, 10.549730
2321,Lodrone, 45.829180, 10.535450
2322,Ponte Caffaro Bivio, 45.825070, 10.531100
2323,Baitoni/Ponte Caffaro, 45.808710, 10.539580
2324,Castel Condino, 45.916310, 10.602700
2327,Bondone, 45.805890, 10.551270
2330,Vestone, 45.708090, 10.403510
2332,Lavenone, 45.738940, 10.437530
2334,Idro, 45.734590, 10.458090
2336,Anfo, 45.766220, 10.492090
2340,Villa Rendena, 46.062460, 10.712190
2350,Iavre', 46.068020, 10.711730
2360,Dare', 46.075910, 10.717560
2370,Vigo Rendena, 46.078710, 10.718950
2380,Pelugo, 46.087310, 10.723210
2390,Borzago, 46.098840, 10.734720
2400,Spiazzo Rendena, 46.103210, 10.737630
2410,Mortaso, 46.106760, 10.739850
2420,Strembo/Bocenago, 46.120350, 10.751900
2421,Bocenago, 46.120690, 10.760830
2430,Caderzone, 46.128890, 10.756500
2440,Giustino, 46.145910, 10.768290
2450,Pinzolo, 46.157140, 10.765970
2460,Carisolo, 46.169310, 10.764130
2470,S.Antonio Di Mavignola, 46.191250, 10.788610
2620,Sardagna, 46.064830, 11.097270
2621,Sopramonte, 46.071310, 11.059190
2630,Candriai, 46.066020, 11.084470
2631,Centro A.Degasperi, 46.059610, 11.077750
2640,Vaneze, 46.051900, 11.071920
2645,Norge, 46.049230, 11.066640
2650,Vason, 46.039080, 11.057680
2660,Viote, 46.021390, 11.041160
2670,Lagolo, 46.037300, 11.002870
3010,Mattarello, 46.005270, 11.126480
3020,Acquaviva, 45.989940, 11.122770
3030,Besenello, 45.942120, 11.109370
3040,Calliano, 45.934180, 11.095720
3041,Dietrobeseno, 45.927030, 11.118470
3042,Mezzomonte, 45.916410, 11.138910
3043,Peneri, 45.918980, 11.145340
3044,Carpeneda, 45.912790, 11.156990
3046,Mezzaselva, 45.906000, 11.173580
3047,Serrada, 45.890900, 11.154070
3048,Costa Di Folgaria, 45.920170, 11.188630
3049,S.Sebastiano, 45.925000, 11.212040
3050,Forreri, 45.908620, 11.146690
3051,Guardia, 45.907370, 11.132630
3053,Morganti, 45.929350, 11.221260
3054,Passo Del Sommo, 45.919500, 11.206090
3055,Castelpietra, 45.922950, 11.092180
3070,Volano, 45.917910, 11.063770
3080,S.Ilario, 45.908260, 11.040540
3100,Rovereto, 45.891240, 11.040470
3101,Villa Lagarina, 45.914590, 11.033860
3102,Piazzo Di Villa Lagarina, 45.922220, 11.033960
3103,Pomarolo, 45.926250, 11.042590
3104,Chiusole, 45.925410, 11.053250
3105,Nomi, 45.928710, 11.072310
3110,Borgo Sacco, 45.887450, 11.024930
3111,Isera, 45.885290, 11.009360
3112,Reviano, 45.891270, 11.007240
3113,Folaso, 45.887060, 11.001200
3114,Patone, 45.902620, 11.000340
3115,Lenzima, 45.878360, 10.992410
3150,Trattoria Genovesa, 45.882600, 11.062590
3151,Toldo, 45.875500, 11.068760
3153,Vignala, 45.861910, 11.082460
3154,Boccaldo/Pozza Tramb., 45.857690, 11.085110
3155,Vanza, 45.852870, 11.077940
3156,Spino, 45.860250, 11.074830
3157,Vanza Bivio, 45.850940, 11.073040
3158,Pozzacchio Bivio, 45.844970, 11.074250
3159,Valmorbia, 45.818610, 11.091650
3160,Zocchio, 45.809050, 11.096500
3161,Anghebeni, 45.794130, 11.107300
3162,S.Anna/Anghebeni/Aste, 45.794740, 11.096730
3163,Foxi, 45.789780, 11.111880
3164,Raossi, 45.782680, 11.118670
3165,Speccheri/Bastianello, 45.765500, 11.129880
3166,Camposilvano/P.Fugazze, 45.760170, 11.144090
3167,Parrocchia/Piano Di Vallarsa, 45.776970, 11.123290
3168,Piano Di Vallarsa, 45.771480, 11.135670
3169,Pian Delle Fugazze, 45.760370, 11.172660
3170,Streva, 45.762460, 11.161860
3175,Acheni, 45.836600, 11.076840
3182,Pozza Di Trambileno, 45.863250, 11.085260
3183,Moscheri, 45.868400, 11.073170
3184,Clocchi, 45.866530, 11.073850
3185,Bastianello, 45.762860, 11.127600
3197,Potrich Bivio, 45.883290, 11.123670
3198,Costa Di Noriglio, 45.884260, 11.072980
3201,Noriglio, 45.884530, 11.069540
