route_id,agency_id,route_short_name,route_long_name,route_type
103,1,867,Linea 7: Nago-Torbole-Riva,3
104,1,868,Direttrice Andata Per Corse Scolastiche Alto Garda,3
132,1,Rv 2,P-02 S.Giorgio - Corso Rosmini - Costa,3
133,1,Rv 3,I-03  Pedersano-Nogaredo-Rosmini-Lenzima,3
134,1,Rv 4,4 Ritorno,3
135,1,Rv 5,P-05 Mori-Villa Lagarina-Pomarolo-Nomi,3
136,1,Rv 6,I-06 Nomi-Pomarolo/Volano-Rosmini-Mori,3
137,1,Rv 7,P-07 Campana Dei Caduti - Rosmini - Noriglio,3
138,1,Rv A,P-A P.Guella-Ospedale-Rosmini-Brione,3
248,1,024,Dro-Vezzano-Terlago-,3
48,1,423,Pergine Vals.-Ischia-Tenna-Levico Terme,3
49,1,424,Pergine-Buss,3
50,1,425,Pergine Vals.-Masetti-Assizzi-Vignola-Falesina,3
51,1,426,Falesina-Vignola-Assizzi-Pergine Valsugana,3
54,1,431,S.Mauro - Baselga Di Pinè,3
55,1,433,Roncegno Terme - Giro Masi,3
56,1,440,Trento-Povo-Pergine,3
60,1,420,Nogarè-Madrano-Pergine Vals.,3
92,1,010,Direttrice Ritorno Per Corse Operai Trento Ritorno,3
41,1,409,Borgo Valsugana -Roncegno Terme -Ronchi,3
59,1,410,Borgo Valsugana - Tezze - Primolano,3
93,1,011,Direttrice Andata Corse Operai Seeber,3
94,1,012,Direttrice Andata Corse Operai Valfloriana,3
95,1,013,Direttrice Andata Corse Operai Val Di Cembra,3
96,1,021,Operai And. Val Di Cavedine,3
97,1,022,Operai Rit. Ranzo-Ciago,3
98,1,031,Operai Rit. Garniga,3
99,1,044,Operai Rit. Silvelox,3
100,1,611,Molveno-Andalo-Fai D/Paganella-Mezzocorona-Trento,3
101,1,620,Trento-Mezzolombardo-Campodenno-Denno-Cles,3
105,1,210,Bivedo-Cavrasto-S.Croce-Ponte Arche,3
113,1,032,Operai Rit. Besenello,3
114,1,305,Rovereto-Mori-Brentonico-Saccone,3
115,1,306,Lavarone-Folgaria-Calliano-Rovereto,3
116,1,307,Rovereto-Mori-Chizzola-Cornè-Ala-Avio,3
117,1,309,Rovereto-Serravalle-Chizzola-Cornè,3
118,1,310,Rovereto-Mori-S.Felice-Ronzo Chienis,3
216,1,Tn 6/,T-06 Piazza Dante - Via Asiago - San Rocco,3
174,1,Tn 1,T-01 Roncafort - P.Dante - Osp.S.Chiara- Roncafort,3
175,1,Tn 10,T-10 P.Dante - Martignano - Cognola / Montevaccino,3
176,1,Tn 11,T-11 Piazza Dante / Roncafort - Gardolo - Spini,3
177,1,Tn 12,T-12 P.Dante - Via Ghiaie - Ravina - Romagnano,3
178,1,Tn 13,T-13 Povo - S.Rocco - Rosmini - Piazza Dante,3
179,1,Tn 14,T-14 P.Dante - Via Sanseverino - Belvedere Ravina,3
180,1,Tn 17,T-17 Lavis - S.Lazzaro -  Piazza Dante,3
181,1,Tn 3,T-03 Cortesano - Gardolo - P.Dante - Villazzano 3,3
182,1,Tn 4,T-04 Piazza Dante - Via Degasperi - Madonna Bianca,3
183,1,Tn 5,T-05 Piazza Dante - P.Fiera - Povo - Oltrecastello,3
184,1,Tn 6,T-06 Sopramonte - P.Dante - Villazzano - Grotta,3
185,1,Tn 7,T-07 Canova - Melta - Piazza Dante - Gocciadoro,3
186,1,Tn 8,T-08 Mattarello -  Piazza Dante -  Centochiavi,3
187,1,Tn 9,T-09 P.Dante - S.Donà - Cognola - Villamontagna,3
188,1,Tn A,T- A P.Dante - Osp.S.Chiara - Clarina - P.Dante,3
189,1,Tn B,T- B Piazza Dante - Laste - Piazza Dante,3
190,1,Tn NP,T-Np Navetta Parcheggi: Zuffo - M.Te Baldo - Zuffo,3
215,1,Tn Fu,Funivia Sardagna,7
155,1,627,Sfruz-Smarano-Coredo-Dermulo-Cles,3
159,1,632,Cles - Revò - Castelfondo - Fondo,3
160,1,633,Cles - Mostizzolo - Cis,3
203,1,091,Operai Rit. Seeber,3
204,1,092,Operai And. Valfloriana,3
205,1,093,Operai And. Val Di Cembra,3
206,1,094,Operai And. Cavalese,3
207,1,811,Servizi Svolti Per Linea 11,3
238,1,TxBus,Linea Taxibus,3
249,1,126,Cavalese-Daiano-Varena-Stava-Pampeago,3
250,1,326,Rovereto-Calliano-Se,3
251,1,341,Trento-Calliano-Nomi,3
254,1,Rv 1,I-01 Corso Bettini-Ospedale-Lizzana-Marco,3
255,1,Rv N1,N1 - Corso Bettini-Lizzana-Marco-Mori,3
256,1,Rv N2,N2 - Costa-Corso Rosmini,3
257,1,Rv N6,N6 - Nomi-Besenello-V.Cesari,3
258,1,Rv N3,N3 - Castellano-Via Cesari,3
259,1,Rv N5,N5 - C.So Bettini-Isera-Nomi,3
261,1,753,Bassano-Tn Servizio Sostitutivi Trenitalia,3
208,1,023,Operai And. Terlago-Ciago,3
209,1,235,Trento - Lago Cavedine - Riva Del Garda,3
210,1,324,Guardia - Folgaria,3
211,1,325,Rovereto - Zoreri - Soldati,3
212,1,327,Passo S.Valentino - Rovereto,3
213,1,332,Bolognano-Arco-Riva-Mori-Rovereto,3
214,1,419,Maso Tingherla - Kamauz - Pergine,3
149,1,619,Tn-M.Do-Sporminore-Campodenno-Denno-Cles,3
52,1,428,Bedollo-Svaldi,3
228,1,336,Ronchi-Ala,3
199,1,Tn 2,T-02 Vela - P.Dante - Osp.S.Chiara - P.Dante -Vela,3
200,1,Tn GS,T-Gs Gite Scolastiche Trento,3
32,1,132,Valcava-Scancio-Faver-Verla-Palù-S.Michele,3
162,1,635,Bresimo-Baselga-Livo,3
163,1,640,Malè - Rabbi Bagni - Somrabbi,3
164,1,641,Malè - Bolentina,3
165,1,642,Madonna Di Campiglio - Folgarida - Malè,3
166,1,643,Marilleva 1400-Malè,3
167,1,644,Pellizzano - Menas,3
168,1,645,Malè -Mezzana -Fucine -Cogolo -Peio,3
169,1,646,Malè -Mezzana -Fucine -Vermiglio -Passo Tonale,3
170,1,647,Male -Cavizzana,3
171,1,700,Ferrovia Trento - Male  - Marilleva 900,2
191,1,636,Madonna Di Campiglio -Malè -Passo Mendola,3
153,1,625,Mollaro - Priò - Vervò - Tres,3
236,1,865,Linea 5: Busatte - Torbole,3
172,1,062,Operai Rit. Cles (Via Moncovo),3
173,1,063,Operai And. Cles (Via Crescino),3
219,1,Tn C,T- C Servizio R.S.A. Ex Ospedalino,3
193,1,Rv CC,Corna Calda  -   Lizzanella  -  Corso Rosmini,3
194,1,Rv N-2,2   Costa - Corso Rosmini,3
195,1,Rv N-5,5   Corso Bettini - Nogaredo - Nomi,3
196,1,Rv N-6,6   Corso Bettini - Marco - Mori,3
197,1,Rv N-7,7   P.Le Orsi - Volano - Ped. - Castellano,3
198,1,Rv VV,Corso Rosmini - Via Vicenza - Corso Rosmini,3
217,1,236,Sopramonte-Baselga-Vigolo B.-Terlago-M.Terlago,3
218,1,404,Faida - Baselga Di Pinè,3
229,1,245,M.Campiglio-Tione-Storo-Baitoni-Vestone,3
230,1,342,Raossi - S.Anna - Ometto,3
231,1,344,Rovereto - Albaredo - Raossi,3
232,1,853,Castellano-Isera-Noriglio,3
233,1,854,Mori-Isera-Marco,3
234,1,855,Marco-Nomi,3
235,1,856,Mori-Volano,3
72,1,863,Linea 3 Integrata:Bolognano-Arco-Riva-Torbole-Nago,3
237,1,857,Castellano-Villa-Marco,3
240,1,Tn 15,T-15 Piazza Dante - Interporto - Spini Di Gardolo,3
247,1,Tn 16,T-16 Centochiavi-Martignano-Cognola-Povo,3
252,1,544,Caoria-Totoga-Agordo,3
253,1,617,Trento-S.Michele-Dx,3
241,1,Rv VIC,Corso Rosmini - Via Vicenza - Corso Rosmini,3
242,1,064,Operai Cles-Crescino-S.Michele-Lavis-Trento,3
243,1,124,Masi Di Imer - Predazzo - Penia,3
244,1,134,S.Michele-Segonzano-Tesero,3
245,1,234,Riva Del G.-Storo- Pieve Di Bono,3
246,1,330,Centa-Levico-Pergine Valsugana,3
260,1,Tn D,Servizio R.S.A: Porta Nuova - S.Bartolomeo,3
1,1,104,Cavalese-Ora-Egna-Salorno-S.Michele A/A-Trento,3
2,1,122,Fiera Di Primiero-Predazzo,3
3,1,401,Trento-Pergine V.-Levico T.-Borgo V.-Castello T.,3
4,1,421,Pergine Valsugana - Susà,3
5,1,501,S.Martino Di Castrozza-Fiera Di Primiero-Feltre,3
