route_id,service_id,trip_id,trip_short_name,direction_id,departure_time,variante_id,variante_name,variante_short_name
199,UTnf5,23828_20130402_UTnf5_8023,T02362,1,19.52.00,5200,vela/stazione/p.dante/vel,150206
199,UTnf5,24211_20130402_UTnf5_8023,T02312,1,19.31.00,5199,vela/stazione/p.dante/vel,150201
199,UTnf5,24329_20130402_UTnf5_8023,T02301,1,06.27.00,5199,vela/stazione/p.dante/vel,150201
199,UTnf5,23471_20130402_UTnf5_8023,T023v1,1,06.17.00,5226,linea 02 trasferimenti a,16900212
199,UTnf5,24150_20130402_UTnf5_8024,T02412,1,19.49.00,5199,vela/stazione/p.dante/vel,150201
181,UTnf5,20205_20130402_UTnf5_8221,T03a51,1,07.12.00,19206,villazzano 3/gardolo s.an,15035205
190,UTnf5,58649_20130402_UTnf5_8221,TNPa51,1,06.31.00,7892,Navetta Parcheggi,153215
185,UTnf5,58960_20130402_UTnf5_8076,T07610,0,20.05.00,3854,canova/melta/gocciadoro,150701
185,UTnf5,23245_20130402_UTnf5_8076,T07653,1,10.25.00,5126,gocciadoro/melta/canova,150702
185,UTnf5,58952_20130402_UTnf5_8076,T07602,0,08.05.00,3854,canova/melta/gocciadoro,150701
185,UTnf5,23169_20130402_UTnf5_8074,T07406,0,15.05.00,3854,canova/melta/gocciadoro,150701
185,UTnf5,23227_20130402_UTnf5_8074,T07452,1,09.55.00,5126,gocciadoro/melta/canova,150702
185,UTnf5,22710_20130402_UTnf5_8072,T072v9LV,0,20.31.00,5136,linea 07 trasferimenti a,16900733
185,UTnf5,58929_20130402_UTnf5_8072,T07206,0,13.05.00,3854,canova/melta/gocciadoro,150701
185,UTnf5,23211_20130402_UTnf5_8072,T07254,1,10.55.00,5126,gocciadoro/melta/canova,150702
185,UTnf5,58926_20130402_UTnf5_8072,T07203,0,08.35.00,3854,canova/melta/gocciadoro,150701
185,UTnf5,23140_20130402_UTnf5_8071,T07104,0,11.20.00,3854,canova/melta/gocciadoro,150701
185,UTnf5,23201_20130402_UTnf5_8071,T07153,1,10.40.00,5126,gocciadoro/melta/canova,150702
188,UTnf5,58501_20130402_UTnf5_8304,T_A459,1,15.54.00,20865,clarina/centro città/piaz,15300698
188,UTnf5,58496_20130402_UTnf5_8304,T_A454,1,10.54.00,20865,clarina/centro città/piaz,15300698
188,UTnf5,58494_20130402_UTnf5_8304,T_A452,1,08.54.00,20865,clarina/centro città/piaz,15300698
184,UTnf5,17794_20130402_UTnf5_8065,T06558,1,15.48.00,22119,X - Cadine/S.Rocco/Gabbio,15062097
184,UTnf5,54768_20130402_UTnf5_8065,T06503,0,06.48.00,3824,X - Villazzano / Sopramon,15060198
184,UTnf5,17839_20130402_UTnf5_8064,T06411,0,23.13.00,22113,X - Grotta/Cadine/Sopramo,15061198
184,UTnf5,17816_20130402_UTnf5_8064,T06452,1,08.48.00,22116,X - Sopramonte/Cadine/Gro,15061299
184,UTnf5,17885_20130402_UTnf5_8064,T06451,1,07.13.00,5086,X - Sopramonte/Villazz./G,150602
180,UTnf5,19717_20130402_UTnf5_8171,T17107,0,12.15.00,4992,piazza dante/bolzano/lavi,151701
180,UTnf5,7878_20130402_UTnf5_8171,T17153,1,08.41.00,3687,lavis/via bolzano/piazza,151702
180,UTnf5,19713_20130402_UTnf5_8171,T17103,0,08.15.00,4992,piazza dante/bolzano/lavi,151701
180,UTnf5,7919_20130402_UTnf5_8171,T17101,0,06.25.00,3688,lamar di gardolo/lavis,151711
183,UTnf5,18014_20130402_UTnf5_8162,T05a01,0,07.21.00,22092,X - p.dante/povo polo soc,15052198
183,UTnf5,6998_20130402_UTnf5_8162,T05152,1,06.52.00,3789,X - oltrecastello/povo/p.,150502
188,UTnf5,58492_20130402_UTnf5_8302,T_A263,1,18.24.00,20865,clarina/centro città/piaz,15300698
188,UTnf5,58490_20130402_UTnf5_8302,T_A261,1,16.24.00,20865,clarina/centro città/piaz,15300698
184,UTnf5,17818_20130402_UTnf5_8062,T06256,1,14.48.00,22116,X - Sopramonte/Cadine/Gro,15061299
184,UTnf5,22850_20130402_UTnf5_8062,T062v1,0,06.10.00,5108,linea 06 trasferimenti a,16900628
177,UTnf5,17053_20130402_UTnf5_8123,T12314LV,0,20.25.00,3639,piazza dante/romagnano,151201
177,UTnf5,16916_20130402_UTnf5_8123,T12363LV,1,19.49.00,3640,romagnano/ravina/p.dante,151202
177,UTnf5,19645_20130402_UTnf5_8123,T12306,0,12.25.00,3639,piazza dante/romagnano,151201
177,UTnf5,16969_20130402_UTnf5_8123,T12352,1,08.39.00,3640,romagnano/ravina/p.dante,151202
177,UTnf5,17117_20130402_UTnf5_8123,T12302,0,08.15.00,3639,piazza dante/romagnano,151201
183,UTnf5,18087_20130402_UTnf5_8052,T05211,0,16.49.00,22090,X - piazza dante/povo/olt,15050198
183,UTnf5,7022_20130402_UTnf5_8052,T05258,1,14.17.00,3789,X - oltrecastello/povo/p.,150502
183,UTnf5,18131_20130402_UTnf5_8052,T05203,0,08.49.00,22090,X - piazza dante/povo/olt,15050198
183,UTnf5,35027_20130402_UTnf5_8052,T05252,1,08.13.00,3789,X - oltrecastello/povo/p.,150502
183,UTnf5,18135_20130402_UTnf5_8052,T05201,0,06.46.00,22090,X - piazza dante/povo/olt,15050198
183,UTnf5,22898_20130402_UTnf5_8052,T052v1,0,06.39.00,5335,linea 05 trasferimenti a,16900531
177,UTnf5,21610_20130402_UTnf5_8122,T122v9LV,0,21.23.00,4980,linea 12 trasferimenti a,16901213
177,UTnf5,54944_20130402_UTnf5_8122,T12209,0,15.05.00,3639,piazza dante/romagnano,151201
177,UTnf5,7707_20130402_UTnf5_8122,T12258,1,14.29.00,3640,romagnano/ravina/p.dante,151202
177,UTnf5,54938_20130402_UTnf5_8122,T12203,0,09.05.00,3639,piazza dante/romagnano,151201
177,UTnf5,21611_20130402_UTnf5_8122,T122v1,0,06.48.00,4979,linea 12 trasferimenti a,16901212
183,UTnf5,18138_20130402_UTnf5_8051,T05115,0,19.29.00,22090,X - piazza dante/povo/olt,15050198
183,UTnf5,7007_20130402_UTnf5_8051,T05161,1,15.57.00,3789,X - oltrecastello/povo/p.,150502
